     Planeta  Zonas Estables  Zonas Inestables  Zonas Colisión m2  Área Estable (km²)  Área Inestable (km²)  Área Colisión m2 (km²)
    KELT-6 c             917              9082                  1            1.88e+15              1.86e+16                2.05e+12
   KOI-134 b             630              9365                  5            2.97e+13              4.42e+14                2.36e+11
   KOI-134 c             291              9703                  6            5.54e+12              1.85e+14                1.14e+11
Kepler-117 b             208              9787                  5            1.56e+12              7.32e+13                3.74e+10
Kepler-117 c             824              9175                  1            2.32e+13              2.58e+14                2.82e+10
 Kepler-25 b             111              9875                 14            1.92e+11              1.71e+13                2.42e+10
 Kepler-25 c             146              9837                 17            6.52e+11              4.39e+13                7.60e+10
 Kepler-25 d             320              9671                  9            1.99e+13              6.01e+14                5.59e+11
  TOI-1338 b             128              9858                 14            9.73e+12              7.49e+14                1.06e+12
  TOI-1338 c             338              9648                 14            7.63e+13              2.18e+15                3.16e+12
  TOI-1408 b             810              9189                  1            9.68e+11              1.10e+13                1.20e+09
  TOI-1408 c             102              9880                 18            4.70e+10              4.55e+12                8.29e+09
  TOI-1670 b             233              9758                  9            8.85e+11              3.71e+13                3.42e+10
  TOI-1670 c             523              9471                  6            1.16e+13              2.10e+14                1.33e+11
   TOI-201 b             451              9537                 12            1.48e+13              3.14e+14                3.95e+11
   TOI-201 d              95              9886                 19            1.66e+11              1.72e+13                3.31e+10
  TOI-2458 b             142              9845                 13            1.18e+11              8.19e+12                1.08e+10
  TOI-2458 c             124              9865                 11            7.39e+11              5.88e+13                6.55e+10
   TOI-411 b             142              9844                 14            1.67e+11              1.16e+13                1.64e+10
   TOI-411 c             119              9864                 17            4.41e+11              3.65e+13                6.30e+10
  TOI-4562 b             871              9129                  0            1.84e+14              1.93e+15                0.00e+00
  TOI-4562 c             849              9148                  3            8.28e+15              8.92e+16                2.93e+13
  TOI-5126 b             165              9822                 13            2.51e+11              1.49e+13                1.98e+10
  TOI-5126 c             137              9844                 19            1.02e+12              7.30e+13                1.41e+11
  TOI-6695 b             291              9703                  6            1.68e+13              5.61e+14                3.47e+11
  TOI-6695 c             730              9268                  2            1.84e+14              2.33e+15                5.03e+11
   WASP-18 b             971              9028                  1            1.42e+11              1.32e+12                1.47e+08
   WASP-18 c             265              9723                 12            1.16e+11              4.27e+12                5.26e+09
 WASP-94 A b             397              9594                  9            4.30e+11              1.04e+13                9.75e+09
 WASP-94 B b             513              9480                  7            2.06e+11              3.81e+12                2.81e+09
   ups And b             525              9472                  3            6.59e+11              1.19e+13                3.77e+09
   ups And c             863              9133                  4            2.12e+14              2.24e+15                9.81e+11
   ups And d             970              9029                  1            2.19e+15              2.04e+16                2.26e+12
