         Planeta  Zonas Estables  Zonas Inestables  Zonas Colisión m2  Área Estable (km²)  Área Inestable (km²)  Área Colisión m2 (km²)
       HD 7924 b             731              9265                  4            9.42e+11              1.19e+13                5.16e+09
       HD 7924 c             882              9115                  3            4.06e+12              4.20e+13                1.38e+10
       HD 7924 d             950              9044                  6            8.18e+12              7.79e+13                5.17e+10
      HD 83443 b             454              9535                 11            2.68e+11              5.63e+12                6.49e+09
      HD 83443 c             812              9186                  2            1.86e+16              2.11e+17                4.58e+13
      HD 87816 b             921              9078                  1            8.63e+14              8.51e+15                9.37e+11
      HD 87816 c             903              9093                  4            3.32e+16              3.35e+17                1.47e+14
      HD 93083 b             531              9464                  5            4.91e+13              8.75e+14                4.62e+11
      HD 94890 b             763              9234                  3            1.17e+15              1.42e+16                4.60e+12
      HD 94890 c             924              9074                  2            6.20e+15              6.09e+16                1.34e+13
      HD 95089 b             644              9351                  5            4.27e+14              6.19e+15                3.31e+12
      HD 95089 c             889              9110                  1            3.53e+15              3.62e+16                3.97e+12
      HD 99492 b             224              9768                  8            1.16e+12              5.04e+13                4.13e+10
      HD 99706 b             648              9349                  3            9.10e+14              1.31e+16                4.21e+12
    HIP 111909 b             690              9309                  1            4.31e+14              5.81e+15                6.24e+11
    HIP 111909 c             572              9419                  9            7.95e+14              1.31e+16                1.25e+13
     HIP 54373 b             159              9825                 16            2.26e+11              1.40e+13                2.27e+10
     HIP 54373 c             189              9795                 16            6.63e+11              3.44e+13                5.62e+10
     HIP 57274 b             182              9811                  7            3.19e+11              1.72e+13                1.23e+10
     HIP 57274 c             795              9204                  1            9.02e+12              1.04e+14                1.13e+10
     HIP 57274 d             855              9144                  1            3.12e+14              3.34e+15                3.65e+11
     HIP 65407 b             491              9502                  7            5.51e+12              1.07e+14                7.85e+10
     HIP 65407 c             649              9349                  2            2.32e+13              3.34e+14                7.15e+10
     HIP 67851 b             676              9323                  1            4.27e+13              5.89e+14                6.32e+10
     HIP 67851 c             983              9016                  1            7.29e+15              6.68e+16                7.41e+12
      HIP 8541 b             904              9095                  1            4.50e+15              4.53e+16                4.98e+12
     HIP 97166 b             185              9803                 12            5.49e+11              2.91e+13                3.56e+10
     HIP 97166 c             118              9867                 15            6.50e+11              5.43e+13                8.26e+10
        K2-136 b             102              9879                 19            1.83e+11              1.77e+13                3.40e+10
        K2-136 c             201              9793                  6            1.01e+12              4.92e+13                3.02e+10
        K2-136 d              91              9888                 21            7.71e+11              8.38e+13                1.78e+11
        K2-141 b             109              9873                 18            2.18e+09              1.97e+11                3.60e+08
        K2-141 c             136              9844                 20            2.27e+11              1.64e+13                3.34e+10
        K2-155 b             102              9876                 22            1.15e+11              1.12e+13                2.49e+10
        K2-155 c             136              9846                 18            4.36e+11              3.16e+13                5.77e+10
        K2-155 d             106              9872                 22            1.42e+12              1.33e+14                2.96e+11
         K2-16 b             108              9876                 16            1.72e+11              1.57e+13                2.55e+10
         K2-16 c             126              9860                 14            6.81e+11              5.33e+13                7.57e+10
        K2-233 b              87              9891                 22            3.38e+10              3.84e+12                8.54e+09
        K2-233 c             102              9878                 20            1.61e+11              1.56e+13                3.16e+10
        K2-233 d             146              9837                 17            1.20e+12              8.10e+13                1.40e+11
        K2-285 b             137              9847                 16            7.15e+10              5.14e+12                8.35e+09
        K2-285 c             180              9802                 18            4.38e+11              2.38e+13                4.38e+10
        K2-285 d             113              9869                 18            5.62e+11              4.90e+13                8.94e+10
        K2-285 e             144              9841                 15            1.68e+12              1.15e+14                1.75e+11
         K2-35 b              89              9893                 18            3.06e+10              3.40e+12                6.19e+09
         K2-35 c             103              9874                 23            1.12e+11              1.07e+13                2.49e+10
         K2-36 b             101              9879                 20            1.89e+10              1.85e+12                3.75e+09
         K2-36 c             125              9863                 12            1.37e+11              1.08e+13                1.31e+10
          K2-5 b             109              9876                 15            1.10e+11              1.00e+13                1.52e+10
          K2-5 c             121              9864                 15            2.90e+11              2.36e+13                3.59e+10
          K2-8 b             165              9821                 14            4.33e+11              2.58e+13                3.67e+10
          K2-8 c             115              9870                 15            1.17e+11              1.00e+13                1.52e+10
        KOBE-1 b             149              9831                 20            2.62e+11              1.73e+13                3.52e+10
        KOBE-1 c             185              9800                 15            1.71e+12              9.06e+13                1.39e+11
    Kepler-158 b             113              9869                 18            4.99e+11              4.35e+13                7.94e+10
    Kepler-158 c             106              9873                 21            9.48e+11              8.83e+13                1.88e+11
    Kepler-167 b              96              9890                 14            8.00e+10              8.24e+12                1.17e+10
    Kepler-167 c              95              9886                 19            1.59e+11              1.66e+13                3.18e+10
    Kepler-167 d              84              9896                 20            5.93e+11              6.99e+13                1.41e+11
    Kepler-167 e             777              9222                  1            9.87e+14              1.17e+16                1.27e+12
    Kepler-278 b             275              9718                  7            4.02e+12              1.42e+14                1.02e+11
    Kepler-278 c             218              9773                  9            6.43e+12              2.88e+14                2.65e+11
    Kepler-287 b             376              9618                  6            2.83e+12              7.24e+13                4.52e+10
    Kepler-287 c             337              9650                 13            7.30e+12              2.09e+14                2.82e+11
    Kepler-391 b             916              9083                  1            2.26e+12              2.24e+13                2.47e+09
    Kepler-391 c             737              9260                  3            7.10e+12              8.92e+13                2.89e+10
    Kepler-411 b             223              9766                 11            1.12e+11              4.92e+12                5.54e+09
    Kepler-411 c             226              9762                 12            4.42e+11              1.91e+13                2.35e+10
    Kepler-411 d             173              9813                 14            4.82e+12              2.74e+14                3.90e+11
    Kepler-411 e             142              9844                 14            1.76e+12              1.22e+14                1.73e+11
    Kepler-444 b              54              9905                 41            3.38e+10              6.19e+12                2.56e+10
    Kepler-444 c              62              9907                 31            5.29e+10              8.45e+12                2.64e+10
    Kepler-444 d              64              9909                 27            8.25e+10              1.28e+13                3.48e+10
    Kepler-444 e              63              9906                 31            1.09e+11              1.72e+13                5.38e+10
    Kepler-444 f              65              9910                 25            1.53e+11              2.33e+13                5.89e+10
     Kepler-62 b             146              9837                 17            1.60e+11              1.08e+13                1.86e+10
     Kepler-62 c             102              9879                 19            3.15e+11              3.05e+13                5.87e+10
     Kepler-62 d             185              9803                 12            9.54e+11              5.05e+13                6.19e+10
     Kepler-62 e             296              9696                  8            1.93e+13              6.33e+14                5.22e+11
     Kepler-62 f             292              9700                  8            5.39e+13              1.79e+15                1.48e+12
     Kepler-80 b             116              9869                 15            1.74e+11              1.48e+13                2.26e+10
     Kepler-80 c             114              9867                 19            2.56e+11              2.22e+13                4.27e+10
     Kepler-80 d             114              9867                 19            5.65e+10              4.89e+12                9.42e+09
     Kepler-80 e              98              9884                 18            8.46e+10              8.53e+12                1.55e+10
        PDS 70 b             926              9071                  3            1.43e+17              1.41e+18                4.65e+14
        PDS 70 c             948              9049                  3            3.99e+17              3.81e+18                1.26e+15
      TOI-1130 b             208              9787                  5            1.53e+11              7.19e+12                3.67e+09
      TOI-1130 c             799              9200                  1            1.53e+12              1.76e+13                1.91e+09
      TOI-1238 b             104              9874                 22            7.20e+09              6.83e+11                1.52e+09
      TOI-1238 c             150              9832                 18            7.35e+10              4.82e+12                8.82e+09
      TOI-1246 b             120              9864                 16            1.03e+11              8.48e+12                1.38e+10
      TOI-1246 c             126              9859                 15            1.68e+11              1.31e+13                2.00e+10
      TOI-1246 d             102              9875                 23            6.36e+11              6.16e+13                1.44e+11
      TOI-1246 e             165              9822                 13            2.66e+12              1.58e+14                2.09e+11
       TOI-125 b             136              9847                 17            1.31e+11              9.48e+12                1.64e+10
       TOI-125 c             112              9871                 17            2.66e+11              2.34e+13                4.03e+10
       TOI-125 d             165              9819                 16            1.11e+12              6.60e+13                1.08e+11
      TOI-1260 b             142              9845                 13            6.85e+10              4.75e+12                6.27e+09
      TOI-1260 c             183              9799                 18            2.83e+11              1.51e+13                2.78e+10
      TOI-1260 d             173              9813                 14            7.72e+11              4.38e+13                6.24e+10
      TOI-1438 b             133              9852                 15            1.46e+11              1.08e+13                1.64e+10
      TOI-1438 c             141              9843                 16            3.48e+11              2.43e+13                3.95e+10
       TOI-178 b              77              9901                 22            1.87e+10              2.41e+12                5.35e+09
       TOI-178 c             109              9876                 15            5.34e+10              4.84e+12                7.35e+09
       TOI-178 d             114              9869                 17            1.43e+11              1.24e+13                2.13e+10
       TOI-178 e             100              9881                 19            2.20e+11              2.17e+13                4.17e+10
       TOI-178 f             118              9865                 17            4.56e+11              3.81e+13                6.57e+10
       TOI-178 g             108              9873                 19            6.29e+11              5.75e+13                1.11e+11
      TOI-2076 b             113              9868                 19            3.12e+11              2.72e+13                5.25e+10
      TOI-2076 c             116              9868                 16            8.22e+11              7.00e+13                1.13e+11
      TOI-2076 d             118              9867                 15            1.66e+12              1.39e+14                2.11e+11
      TOI-2076 e             101              9881                 18            5.40e+10              5.28e+12                9.62e+09
      TOI-2093 b             152              9834                 14            5.12e+11              3.31e+13                4.72e+10
      TOI-2093 c             186              9801                 13            4.40e+12              2.32e+14                3.07e+11
      TOI-2134 b             142              9841                 17            3.09e+11              2.14e+13                3.70e+10
      TOI-2134 c             301              9696                  3            1.48e+13              4.78e+14                1.48e+11
      TOI-2202 b             726              9272                  2            2.38e+12              3.04e+13                6.55e+09
      TOI-2202 c             478              9516                  6            4.14e+12              8.23e+13                5.19e+10
      TOI-2322 b              89              9891                 20            2.72e+11              3.02e+13                6.11e+10
      TOI-2322 c             206              9786                  8            1.37e+12              6.50e+13                5.31e+10
      TOI-2345 b              97              9885                 18            1.01e+10              1.03e+12                1.87e+09
      TOI-2345 c             125              9863                 12            7.07e+11              5.58e+13                6.79e+10
       TOI-238 b              92              9891                 17            1.48e+10              1.59e+12                2.74e+09
       TOI-238 c             118              9867                 15            2.37e+11              1.98e+13                3.01e+10
      TOI-2525 b             226              9761                 13            1.85e+12              7.98e+13                1.06e+11
      TOI-2525 c             625              9370                  5            1.39e+13              2.08e+14                1.11e+11
       TOI-286 b             101              9879                 20            9.15e+10              8.95e+12                1.81e+10
       TOI-286 c              95              9887                 18            1.54e+12              1.61e+14                2.92e+11
      TOI-4010 b             142              9844                 14            2.67e+10              1.85e+12                2.63e+09
      TOI-4010 c             196              9791                 13            2.36e+11              1.18e+13                1.57e+10
      TOI-4010 d             269              9721                 10            1.23e+12              4.44e+13                4.57e+10
      TOI-4010 e             885              9115                  0            7.81e+14              8.05e+15                0.00e+00
      TOI-4311 b             101              9880                 19            1.19e+10              1.17e+12                2.25e+09
      TOI-4311 c             169              9821                 10            7.54e+11              4.38e+13                4.46e+10
      TOI-4504 b             118              9866                 16            4.86e+10              4.06e+12                6.59e+09
      TOI-4504 c             974              9023                  3            4.44e+13              4.12e+14                1.37e+11
      TOI-4504 d             831              9168                  1            1.47e+13              1.62e+14                1.76e+10
      TOI-4600 b             941              9054                  5            4.10e+13              3.95e+14                2.18e+11
      TOI-4600 c             825              9172                  3            3.92e+14              4.36e+15                1.43e+12
       TOI-500 b              78              9897                 25            3.95e+09              5.01e+11                1.27e+09
      TOI-5789 b              82              9899                 19            3.82e+10              4.61e+12                8.86e+09
      TOI-5789 c             102              9874                 24            3.72e+11              3.60e+13                8.75e+10
      TOI-5789 d              99              9884                 17            1.09e+12              1.09e+14                1.88e+11
      TOI-5789 e             151              9834                 15            4.55e+12              2.96e+14                4.52e+11
       TOI-712 b             107              9872                 21            2.41e+11              2.22e+13                4.73e+10
       TOI-712 c             131              9853                 16            2.81e+12              2.11e+14                3.43e+11
       TOI-712 d             120              9864                 16            4.98e+12              4.10e+14                6.64e+11
       TOI-815 b             124              9866                 10            3.62e+11              2.88e+13                2.92e+10
       TOI-815 c             226              9762                 12            3.01e+12              1.30e+14                1.60e+11
       TOI-836 b             107              9873                 20            6.82e+10              6.30e+12                1.28e+10
      TOI-836.01             151              9835                 14            3.04e+11              1.98e+13                2.82e+10
       TOI-880 c             204              9790                  6            2.95e+11              1.41e+13                8.66e+09
      TOI-880.02             103              9874                 23            4.49e+10              4.31e+12                1.00e+10
       TOI-942 b             183              9799                 18            1.55e+11              8.31e+12                1.53e+10
       TOI-942 c             274              9717                  9            7.25e+11              2.57e+13                2.38e+10
       TOI-969 b             142              9844                 14            3.53e+10              2.45e+12                3.48e+09
       TOI-969 c             329              9669                  2            7.48e+14              2.20e+16                4.55e+12
TYC 8998-760-1 c             996              9002                  2            3.65e+19              3.30e+20                7.33e+16
     V1298 Tau b             141              9844                 15            1.43e+12              1.00e+14                1.53e+11
     V1298 Tau c              92              9891                 17            2.24e+11              2.40e+13                4.13e+10
     V1298 Tau d             101              9879                 20            4.23e+11              4.13e+13                8.37e+10
     V1298 Tau e             149              9830                 21            3.86e+12              2.55e+14                5.44e+11
      WASP-107 b             272              9719                  9            2.95e+11              1.05e+13                9.75e+09
      WASP-132 b             534              9462                  4            8.69e+11              1.54e+13                6.51e+09
      WASP-132 c             114              9867                 19            1.37e+10              1.19e+12                2.29e+09
      WASP-132 d             759              9237                  4            2.00e+15              2.43e+16                1.05e+13
       WASP-84 b             641              9354                  5            1.39e+12              2.03e+13                1.08e+10
       WASP-84 c             176              9810                 14            3.51e+10              1.95e+12                2.79e+09
      WISPIT 1 b             106              9890                  4            4.34e+18              4.05e+20                1.64e+17
      WISPIT 1 c             950              9046                  4            2.40e+20              2.29e+21                1.01e+18
       gam Lib b             573              9419                  8            3.57e+14              5.87e+15                4.98e+12
       gam Lib c             926              9072                  2            1.78e+15              1.75e+16                3.85e+12
       iot Dra b             949              9046                  5            7.17e+14              6.84e+15                3.78e+12
